subfamily,tip_label,male_MW,male_ML,queen_MW,queen_ML,colony_size,queen_number_continuous,caste_number
Formicinae,Formica.talbotae,1.54954955,2.214285714,0.924242,1.756757,NA,NA,NA
Formicinae,Formica.transmontanis,2.027027027,3.315789474,2.121951,3.6,NA,NA,NA
Formicinae,Formica.wheeleri,1.222222222,2.083333333,1.402062,3.04878,NA,NA,NA
Formicinae,Formica.xerophila,1.684210526,2.769230769,1.763158,3.645161,NA,NA,NA
Amblyoponinae,Stigmatomma.orizabanum,0.55,1.0131579,0.311764706,0.723529412,NA,NA,NA
Amblyoponinae,Stigmatomma.saundersi,0.717391304,1.4021739,0.568181818,1.409836066,NA,NA,NA
Ectatomminae,Gnamptogenys.continua,0.683333333,1.25,0.737704918,1.605263158,NA,NA,NA
Ectatomminae,Gnamptogenys.coxalis,1.173913043,2.25,1.5625,2.38,NA,NA,NA
Ectatomminae,Gnamptogenys.minuta,0.862745098,1.48,0.921052632,1.367088608,NA,NA,NA
Ectatomminae,Gnamptogenys.moelleri,1.013513514,2.0512821,1.166666667,2.658333333,NA,NA,NA
Ectatomminae,Gnamptogenys.striatula,0.884615385,0.862069,1.073170732,2.281690141,NA,NA,NA
Myrmicinae,Goniomma.kugleri,0.745283019,1.2413793,0.722891566,1.394230769,NA,NA,NA
Myrmicinae,Huberia.striata,1.511627907,2.744186,1.673469388,2.98989899,NA,NA,NA
Ponerinae,Hypoponera.coeca,0.601351351,1.3405797,0.35,0.731818182,NA,NA,NA
Ponerinae,Hypoponera.dulcis,0.394736842,0.6666667,0.489361702,1.09375,NA,NA,NA
Ponerinae,Hypoponera.eduardi,0.51875,0.99375,0.507042254,1.075757576,1500,NA,1
Ponerinae,Hypoponera.indigens,0.408045977,0.7638889,0.419753086,0.90625,NA,NA,NA
Ponerinae,Hypoponera.inexorata,0.480769231,1.1363636,0.528846154,1.067164179,31,NA,1
Ponerinae,Hypoponera.johannae,0.461538462,0.8545455,0.530120482,1.133802817,NA,NA,NA
Ponerinae,Hypoponera.opaciceps,0.610526316,1.0843373,0.566666667,1.176923077,50,NA,1
Ponerinae,Hypoponera.opacior,0.447761194,1.0277778,0.522727273,1.181818182,50,NA,1
Ponerinae,Hypoponera.pruinosa,0.612903226,1.1470588,0.590909091,1.28125,NA,NA,NA
